id,rep_count,visibility_score,hour_of_day,day_of_week,month,left_knee_angle,right_knee_angle,knee_angle_mean,left_hip_angle,right_hip_angle,hip_angle_mean,trunk_inclination,left_right_symmetry,label_encoded,phase_encoded
226,35,0.8607,0,6,5,127.57,166.2,146.88,139.12,153.97,146.54,6.42,26.74,1,0
227,38,0.8282,0,6,5,157.68,114.41,136.04,145.71,132.51,139.11,14.92,28.23,1,0
228,40,0.8706,0,6,5,136.82,132.36,126.24,113.42,104.22,108.82,20.09,4.79,1,0
229,40,0.8648,0,6,5,119.42,132.36,119.42,106.36,123.85,115.1,11.52,4.79,1,0
230,41,0.8394,0,6,5,118.22,132.36,118.22,131.85,126.41,129.13,13.65,4.79,1,0
231,41,0.8338,0,6,5,125.57,132.36,125.57,100.1,98.23,99.17,17.51,4.79,1,0
232,42,0.8919,0,6,5,124.9,132.36,124.9,117.04,99.75,108.4,14.54,4.79,1,0
233,42,0.8767,0,6,5,136.82,132.36,126.24,145.78,152.47,149.13,20.24,4.79,1,0
234,42,0.8641,0,6,5,136.82,132.36,126.24,144.56,143.79,144.17,15.89,4.79,1,0
235,42,0.9003,0,6,5,136.82,132.36,126.24,162.03,89.71,162.03,7.15,4.79,1,0
236,42,0.9684,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,5.79,4.79,1,0
237,43,0.8239,0,6,5,174.98,132.36,174.98,172.39,89.71,172.39,9.54,4.79,1,1
238,43,0.9901,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,11.45,4.79,1,1
239,43,0.8429,0,6,5,136.64,132.36,136.64,163.15,143.61,153.38,8.17,4.79,1,0
240,44,0.9307,0,6,5,146.72,132.36,146.72,153.5,89.71,153.5,14.5,4.79,1,1
241,44,0.8631,0,6,5,151.61,132.36,151.61,178.86,172.04,175.45,9.27,4.79,1,1
242,44,0.9052,0,6,5,164.38,132.36,164.38,178.14,89.71,178.14,7.44,4.79,1,1
243,44,0.9031,0,6,5,156.41,132.36,156.41,172.33,89.71,172.33,5.07,4.79,1,1
244,44,0.9458,0,6,5,136.82,132.36,126.24,144.31,89.71,144.31,6.94,4.79,1,0
245,44,0.9837,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,9.43,4.79,1,0
246,44,0.9776,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,6.49,4.79,1,0
247,44,0.9603,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,7.1,4.79,1,0
248,45,0.8027,0,6,5,136.82,166.64,166.64,167.48,168.93,168.21,6.46,4.79,1,1
249,45,0.9579,0,6,5,136.82,132.36,126.24,88.51,89.71,88.85,6.22,4.79,1,1
250,48,0.936,0,6,5,136.82,171.9,171.9,79.16,77.7,78.43,6.76,4.79,0,1
251,51,0.8993,0,6,5,136.82,100.41,100.41,81.05,72.97,77.01,6.72,4.79,0,0
252,54,0.9,0,6,5,136.82,47.76,47.76,47.16,38.17,42.66,18.35,4.79,0,0
260,61,0.886,0,6,5,164.56,163.41,163.98,59.9,63.21,61.55,9.03,2.23,0,1
261,61,0.8759,0,6,5,165.88,164.91,165.4,55.5,62.27,58.89,9.04,3.87,0,1
262,61,0.8776,0,6,5,167.04,165.28,166.16,68.11,76.19,72.15,9.05,4.92,0,1
264,61,0.8754,0,6,5,165.5,162.68,164.09,78.18,85.98,82.08,8.96,5.31,0,1
265,61,0.8736,0,6,5,164.92,161.0,162.96,52.75,54.72,53.74,9.0,2.95,0,1
266,61,0.8751,0,6,5,163.22,159.13,161.17,54.17,56.35,55.26,8.94,3.14,0,1
267,61,0.8947,0,6,5,165.27,164.03,164.65,62.67,69.69,66.18,9.16,4.13,0,1
